State,SAT Mean,Total Completion (%),Population,Region
Alabama,1090.625,56.625,4816632,South
Alaska,999.75,33.925,730810,West
Arizona,1051.5,53.575,6556344,West
Arkansas,1138.375,54.3625,2952876,South
California,1007.625,51.8375,37944551,West
Colorado,1156.75,57.7375,5193660,West
Connecticut,1016.5,65.225,3595211,North East
Delaware,958.6,73.12,915518,South
Florida,978.625,56.9625,19302016,South
Georgia,977,58.875,9903580,South
Hawaii,987,49.2625,1395199,West
Idaho,1001.125,47.6875,1595910,West
Illinois,1209.75,62.175,12883029,Midwest
Indiana,996.25,63.5625,6538989,Midwest
Iowa,1207.875,67.2375,3076844,Midwest
Kansas,1180.3333333333333,57.300000000000004,2886024,Midwest
Kentucky,1164.875,55.925,4387865,South
Louisiana,1141.5,56.6,4602067,South
Maine,941.125,60.0125,1328094,North East
Maryland,994.625,56.925,5888375,South
Massachusetts,1043,70.975,6664269,North East
Michigan,1195.125,57.4625,9898289,Midwest
Minnesota,1205.5,68.4375,5377500,Midwest
Mississippi,1129.125,55.1375,2984599,South
Missouri,1192.5,58.1375,6026027,Midwest
Montana,1091.5,53.5,1004168,West
Nebraska,1175.375,59.85,1853691,Midwest
Nevada,995,37.225,2744670,West
New Hampshire,1050.375,67.4875,1324677,North East
New Jersey,1014.5,57.975,8845671,North East
New Mexico,1095.625,45.85,2087715,West
New York,986.75,64.95,19574362,North East
North Carolina,1003.875,60.2375,9751810,South
North Dakota,1198.375,65.25,702227,Midwest
Ohio,1101,59.9625,11550971,Midwest
Oklahoma,1146.75,52.574999999999996,3819320,South
Oregon,1044.25,54.275,3900102,West
Pennsylvania,997.625,69.5375,12769123,North East
Rhode Island,986.875,71.65,1054893,North East
South Carolina,976.625,58.6,4719027,South
South Dakota,1186.7142857142858,66.67142857142858,833859,Midwest
Tennessee,1148.25,57.55,6455752,South
Texas,972.75,54.05,26084120,South
Utah,1135.75,49.2375,2854146,West
Vermont,1040,71.725,626361,North East
Virginia,1028,64.65,8187456,South
Washington,1037.125,57.4875,6898599,West
West Virginia,1019.75,58.45,1857446,South
Wisconsin,1201.25,66.9875,5720825,Midwest
Wyoming,1160,53.98571428571428,576656,West